hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
70, 1800.00000, 3143.79, 6.44786, 3214.53, 9.49188, 3171.31, 6.72633
70, 2700.00000, 3046.07, 6.20814, 3186.95, 9.19705, 3041.08, 6.44992
71, 0.00000, 1653.58, 16.5124, 1791.59, 21.1467, 1811.58, 14.2019
71, 900.00000, 897.082, 29.1571, 1190.86, 31.4743, 1037.33, 22.1958
71, 1800.00000, 899.258, 19.9614, 1181.42, 26.5062, 1051.81, 16.412
71, 2700.00000, 2392.28, 3.48718, 2562.65, 7.86916, 2391.21, 3.66645
72, 0.00000, 2316.11, 3.01226, 2382.12, 7.8795, 2293.85, 3.10888
72, 900.00000, 2258.95, 2.49831, 2303.38, 5.35864, 2219.45, 2.42536
72, 1800.00000, 2014.68, 3.42334, 1916.52, 6.51889, 1973.9, 3.21599
72, 2700.00000, 1212.25, 156.424, 1075.74, 145.846, 822.086, 151.978
73, 0.00000, 1024.23, 159.767, 922.399, 150.144, 642.228, 149.46
73, 900.00000, 2213.1, 1.64209, 2279.24, 4.37665, 2266.07, 2.30054
73, 1800.00000, 2278.35, 2.2066, 2334.2, 6.21417, 2335.59, 2.87924
73, 2700.00000, 2437.48, 2.93315, 2525.66, 5.4235, 2426.75, 3.4697
74, 0.00000, 2498.67, 3.46786, 2477.78, 6.2877, 2523.12, 4.13001
74, 900.00000, 569.364, 50.3991, 803.82, 45.2334, 752.687, 31.9541
74, 1800.00000, 1106.84, 145.314, 1059.66, 131.582, 758.21, 132.364
74, 2700.00000, 1839.78, 9.56287, 2108.87, 14.1572, 1962.77, 10.0348
75, 0.00000, 2674.69, 5.77733, 2785.11, 10.969, 2674.55, 6.33579
75, 900.00000, 2633.05, 6.11727, 2736.08, 9.44739, 2641.28, 6.66727
75, 1800.00000, 2713.23, 6.5331, 2679.74, 10.0701, 2712.5, 7.05359
75, 2700.00000, 1817.07, 12.7336, 2079.27, 17.5468, 1926.53, 11.616
76, 0.00000, 1180.38, 143.865, 1147.37, 125.12, 797.952, 130.078
76, 900.00000, 512.033, 77.5611, 887.259, 55.9994, 584.717, 51.7659
76, 1800.00000, 2558.91, 6.36967, 2608.63, 10.2025, 2554.3, 6.39995
76, 2700.00000, 2511.54, 6.11677, 2718.35, 9.79833, 2592.96, 6.55909
77, 0.00000, 2471.94, 5.9948, 2577.18, 10.2219, 2600.13, 6.47759
77, 900.00000, 2545.66, 6.15394, 2750.33, 10.3974, 2544.33, 6.59431
77, 1800.00000, 669.279, 107.895, 838.452, 90.9433, 571.337, 79.4845
77, 2700.00000, 982.268, 135.644, 921.496, 114.542, 692.128, 112.944
78, 0.00000, 2733.77, 7.27653, 2758, 10.6548, 2717.96, 7.71146
78, 900.00000, 2962.96, 6.9696, 3076.48, 10.1221, 2962.25, 7.39674
